name,val,year
Benfica,314700,2019
FC Porto,256750,2019
Sporting CP,215830,2019
Braga,92550,2019
Vit. Guimarães,43680,2019
Portimonense,19150,2019
Famalicão,14150,2019
Rio Ave FC,17850,2019
Boavista,17650,2019
Santa Clara,15350,2019
Belenenses SAD,11200,2019
Marítimo,15650,2019
Vitória Setúbal,12480,2019
Tondela,11050,2019
Moreirense,11050,2019
Desportivo Aves,10700,2019
Gil Vicente,5550,2019
Paços Ferreira,10200,2019
Benfica,233750,2018
FC Porto,230880,2018
Sporting CP,158880,2018
Braga,74450,2018
Vit. Guimarães,38000,2018
Portimonense,21950,2018
Famalicão,7100,2018
Rio Ave FC,15550,2018
Boavista,11730,2018
Santa Clara,8800,2018
Belenenses SAD,13180,2018
Marítimo,21780,2018
Vitória Setúbal,12550,2018
Tondela,15230,2018
Moreirense,15800,2018
Desportivo Aves,9600,2018
Gil Vicente,1930,2018
Paços Ferreira,10150,2018
Benfica,170650,2017
FC Porto,204700,2017
Sporting CP,196150,2017
Braga,61700,2017
Vit. Guimarães,26380,2017
Portimonense,10000,2017
Famalicão,3550,2017
Rio Ave FC,19030,2017
Boavista,13650,2017
Santa Clara,5700,2017
Belenenses SAD,17730,2017
Marítimo,17980,2017
Vitória Setúbal,16650,2017
Tondela,11200,2017
Moreirense,16150,2017
Desportivo Aves,12350,2017
Gil Vicente,3450,2017
Paços Ferreira,17150,2017
Benfica,201180,2016
FC Porto,188700,2016
Sporting CP,216400,2016
Braga,62900,2016
Vit. Guimarães,25700,2016
Portimonense,4200,2016
Famalicão,4750,2016
Rio Ave FC,21130,2016
Boavista,15480,2016
Santa Clara,4500,2016
Belenenses SAD,21780,2016
Marítimo,14830,2016
Vitória Setúbal,21400,2016
Tondela,11030,2016
Moreirense,10300,2016
Desportivo Aves,9080,2016
Gil Vicente,5280,2016
Paços Ferreira,14950,2016
Benfica,166050,2015
FC Porto,194300,2015
Sporting CP,182700,2015
Braga,49600,2015
Vit. Guimarães,33800,2015
Portimonense,3650,2015
Famalicão,5530,2015
Rio Ave FC,30150,2015
Boavista,19000,2015
Santa Clara,3400,2015
Belenenses SAD,22350,2015
Marítimo,22100,2015
Vitória Setúbal,14400,2015
Tondela,12250,2015
Moreirense,11150,2015
Desportivo Aves,4130,2015
Gil Vicente,10050,2015
Paços Ferreira,21150,2015
Benfica,-,2014
FC Porto,-,2014
Sporting CP,-,2014
Braga,-,2014
Vit. Guimarães,-,2014
Portimonense,-,2014
Famalicão,-,2014
Rio Ave FC,-,2014
Boavista,-,2014
Santa Clara,-,2014
Belenenses SAD,-,2014
Marítimo,-,2014
Vitória Setúbal,-,2014
Tondela,-,2014
Moreirense,-,2014
Desportivo Aves,-,2014
Gil Vicente,-,2014
Paços Ferreira,-,2014
Benfica,241600,2013
FC Porto,221400,2013
Sporting CP,100050,2013
Braga,77500,2013
Vit. Guimarães,17800,2013
Portimonense,5950,2013
Famalicão,95000,2013
Rio Ave FC,20950,2013
Boavista,2850,2013
Santa Clara,3780,2013
Belenenses SAD,10150,2013
Marítimo,20800,2013
Vitória Setúbal,18250,2013
Tondela,5250,2013
Moreirense,8700,2013
Desportivo Aves,4450,2013
Gil Vicente,15000,2013
Paços Ferreira,23650,2013
Benfica,223650,2012
FC Porto,249200,2012
Sporting CP,153750,2012
Braga,85750,2012
Vit. Guimarães,17950,2012
Portimonense,5400,2012
Famalicão,75000,2012
Rio Ave FC,18850,2012
Boavista,3450,2012
Santa Clara,5800,2012
Belenenses SAD,6150,2012
Marítimo,28650,2012
Vitória Setúbal,13150,2012
Tondela,3200,2012
Moreirense,11050,2012
Desportivo Aves,5550,2012
Gil Vicente,10450,2012
Paços Ferreira,18000,2012
Benfica,174300,2011
FC Porto,215800,2011
Sporting CP,128550,2011
Braga,57800,2011
Vit. Guimarães,30950,2011
Portimonense,3950,2011
Famalicão,65000,2011
Rio Ave FC,16300,2011
Boavista,3700,2011
Santa Clara,3250,2011
Belenenses SAD,6650,2011
Marítimo,24300,2011
Vitória Setúbal,21750,2011
Tondela,1650,2011
Moreirense,5350,2011
Desportivo Aves,5450,2011
Gil Vicente,6850,2011
Paços Ferreira,9450,2011
